INFO 2025-01-13 23:33:39,599 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-13 23:33:39,599 autoreload Waiting for apps ready_event.
DEBUG 2025-01-13 23:33:39,602 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-13 23:33:39,620 autoreload Watching dir C:\Users\User\Django Ч копи€\metronom\templates with glob **/*.
DEBUG 2025-01-13 23:33:39,621 autoreload Watching dir C:\Users\User\Django Ч копи€\locale with glob **/*.mo.
DEBUG 2025-01-13 23:33:39,621 autoreload Watching dir C:\Users\User\Django Ч копи€\metronom\locale with glob **/*.mo.
DEBUG 2025-01-13 23:33:39,647 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-01-13 23:33:39,647 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1735125410.1755483
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\version.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1735125410.980407
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1735125411.1214087
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1735125409.156634
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1735125410.980407
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1735125409.4268696
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\windows_events.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\coroutines.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\template\library.py first seen with mtime 1735125411.1214087
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\heapq.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\sqlite3\__init__.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\urllib\request.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1735125410.380018
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\_weakrefset.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1735125410.9962347
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\DLLs\_wmi.pyd first seen with mtime 1725643928.0
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\gzip.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1735125411.0285742
DEBUG 2025-01-13 23:33:39,716 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\socketserver.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1735125411.0592167
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1735125410.980407
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\signal.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\encodings\__init__.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1735125411.1316216
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\encoders.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1735125409.156634
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1735125409.7280207
DEBUG 2025-01-13 23:33:39,722 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1735125410.980407
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1735125408.1225753
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1735125408.1225753
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\views\static.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1735125410.9962347
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1735125410.1755483
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1735125410.1755483
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\bz2.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,724 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\selector_events.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_constants.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1735125410.9962347
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\html.py first seen with mtime 1735125411.142591
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1735125410.980407
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1735125408.1225753
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\base64mime.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1735125409.722368
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\quoprimime.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\DLLs\_overlapped.pyd first seen with mtime 1725643928.0
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\template\response.py first seen with mtime 1735125411.1214087
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\text.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,725 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1735125411.1316216
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1735125411.0592167
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1735125410.470391
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1735125411.0526252
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1735125411.0526252
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\fractions.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1735125409.156634
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1735125431.7166018
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\runners.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1735125411.1158235
DEBUG 2025-01-13 23:33:39,726 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1735125411.0285742
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1735125411.071688
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1735125408.1225753
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1735125411.0592167
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1735125410.980407
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1735125411.0285742
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1735125411.0684114
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1735125411.0592167
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1735125410.9962347
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\formats.py first seen with mtime 1735125411.142591
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\_header_value_parser.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,727 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,728 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1735125409.5355663
DEBUG 2025-01-13 23:33:39,728 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\logging\handlers.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,728 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\contextlib.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,728 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\dis.py first seen with mtime 1725643874.0
